(225.08735620552227, [0, 4, 2, 1, 5, 3])
(235.28409062587286, [0, 4, 1, 3, 5, 2])
(269.69484799684625, [0, 2, 1, 3, 5, 4])
(207.5399168884574, [0, 4, 1, 5, 3, 2])
(253.0752732329039, [0, 4, 5, 1, 3, 2])
(234.821191157524, [0, 4, 5, 2, 3, 1])
(231.99588976559795, [0, 4, 1, 2, 5, 3])
(185.6128707050423, [0, 4, 1, 5, 3, 2])
(183.4084484851917, [0, 5, 3, 4, 1, 2])
(243.31644528352444, [0, 4, 5, 1, 2, 3])
(259.5792933235932, [0, 4, 5, 1, 2, 3])
(263.3275533655063, [0, 5, 2, 1, 3, 4])
(235.2858833657214, [0, 4, 5, 3, 2, 1])
(210.6332410856469, [0, 4, 5, 3, 1, 2])
(245.87186783015326, [0, 2, 4, 3, 5, 1])
(229.62464084730996, [0, 4, 5, 3, 2, 1])
(266.138919374949, [0, 5, 3, 4, 2, 1])
(159.25678270948185, [0, 2, 4, 3, 1, 5])
(222.5802992241789, [0, 5, 2, 4, 3, 1])
(225.6129260961352, [0, 3, 1, 4, 2, 5])
