,0,1
0,"[0, 6, 3, 5, 2, 1, 4]",19.0
1,"[0, 2, 5, 6, 3, 4, 1]",18.0
2,"[0, 5, 4, 6, 3, 1, 2]",19.0
3,"[0, 3, 1, 4, 6, 5, 2]",17.0
4,"[0, 6, 3, 5, 1, 4, 2]",14.0
5,"[0, 4, 3, 5, 2, 6, 1]",23.0
6,"[0, 5, 3, 2, 1, 6, 4]",18.0
7,"[0, 6, 5, 2, 4, 3, 1]",22.0
8,"[0, 6, 5, 3, 2, 1, 4]",26.0
9,"[0, 5, 6, 4, 1, 3, 2]",28.0
10,"[0, 4, 1, 5, 2, 6, 3]",22.0
11,"[0, 6, 2, 5, 3, 4, 1]",22.0
12,"[0, 5, 4, 6, 1, 3, 2]",22.0
13,"[0, 6, 3, 4, 1, 5, 2]",17.0
14,"[0, 6, 5, 3, 4, 2, 1]",20.0
15,"[0, 2, 4, 6, 5, 3, 1]",22.0
16,"[0, 5, 2, 6, 4, 3, 1]",23.0
17,"[0, 6, 4, 2, 1, 3, 5]",22.0
18,"[0, 6, 2, 4, 3, 1, 5]",19.0
19,"[0, 3, 6, 5, 2, 4, 1]",22.0
20,"[0, 6, 2, 1, 4, 5, 3]",27.0
21,"[0, 5, 4, 6, 1, 3, 2]",22.0
22,"[0, 6, 1, 2, 4, 5, 3]",21.0
23,"[0, 4, 1, 6, 3, 5, 2]",25.0
24,"[0, 6, 3, 5, 2, 4, 1]",24.0
25,"[0, 6, 3, 5, 2, 4, 1]",16.0
26,"[0, 5, 1, 4, 6, 3, 2]",24.0
27,"[0, 6, 3, 5, 2, 1, 4]",28.0
28,"[0, 2, 6, 5, 3, 4, 1]",21.0
29,"[0, 5, 6, 3, 2, 4, 1]",21.0
30,"[0, 4, 2, 6, 3, 5, 1]",25.0
31,"[0, 3, 6, 5, 2, 4, 1]",25.0
32,"[0, 5, 6, 4, 1, 2, 3]",17.0
33,"[0, 5, 6, 4, 2, 1, 3]",19.0
34,"[0, 2, 6, 3, 4, 5, 1]",21.0
35,"[0, 6, 4, 2, 1, 3, 5]",17.0
36,"[0, 5, 2, 1, 6, 4, 3]",23.0
37,"[0, 6, 5, 2, 3, 4, 1]",21.0
38,"[0, 4, 5, 1, 6, 2, 3]",14.0
39,"[0, 6, 2, 4, 1, 5, 3]",25.0
40,"[0, 5, 4, 3, 6, 1, 2]",20.0
41,"[0, 6, 2, 3, 4, 5, 1]",19.0
42,"[0, 4, 2, 5, 6, 3, 1]",21.0
43,"[0, 4, 6, 2, 5, 3, 1]",25.0
44,"[0, 5, 6, 1, 3, 2, 4]",21.0
45,"[0, 6, 1, 4, 2, 5, 3]",21.0
46,"[0, 5, 1, 6, 2, 4, 3]",25.0
47,"[0, 4, 3, 6, 1, 5, 2]",25.0
48,"[0, 6, 1, 4, 2, 5, 3]",24.0
49,"[0, 6, 2, 1, 3, 5, 4]",21.0
50,"[0, 3, 5, 4, 2, 6, 1]",31.0
51,"[0, 4, 1, 5, 6, 2, 3]",26.0
52,"[0, 6, 3, 5, 1, 2, 4]",25.0
53,"[0, 3, 5, 6, 4, 1, 2]",26.0
54,"[0, 6, 4, 2, 5, 1, 3]",22.0
55,"[0, 5, 6, 1, 2, 4, 3]",21.0
56,"[0, 5, 2, 1, 3, 6, 4]",26.0
57,"[0, 3, 4, 5, 2, 6, 1]",25.0
58,"[0, 4, 3, 5, 6, 1, 2]",20.0
59,"[0, 4, 6, 1, 5, 3, 2]",21.0
60,"[0, 5, 3, 4, 1, 6, 2]",24.0
61,"[0, 6, 5, 4, 2, 3, 1]",21.0
62,"[0, 5, 4, 1, 6, 2, 3]",18.0
63,"[0, 4, 5, 1, 2, 6, 3]",23.0
64,"[0, 5, 6, 4, 2, 1, 3]",26.0
65,"[0, 6, 3, 5, 4, 2, 1]",25.0
66,"[0, 6, 5, 4, 2, 3, 1]",21.0
67,"[0, 6, 4, 3, 5, 2, 1]",23.0
68,"[0, 6, 2, 3, 1, 5, 4]",23.0
69,"[0, 5, 2, 6, 1, 3, 4]",18.0
70,"[0, 4, 3, 5, 6, 1, 2]",25.0
71,"[0, 6, 2, 4, 1, 3, 5]",20.0
72,"[0, 6, 5, 4, 1, 2, 3]",25.0
73,"[0, 4, 6, 1, 5, 3, 2]",18.0
74,"[0, 4, 5, 2, 3, 6, 1]",19.0
75,"[0, 4, 2, 6, 1, 5, 3]",24.0
76,"[0, 2, 3, 6, 5, 4, 1]",25.0
77,"[0, 6, 5, 2, 4, 1, 3]",18.0
78,"[0, 4, 3, 1, 5, 6, 2]",23.0
79,"[0, 6, 4, 1, 2, 5, 3]",19.0
80,"[0, 6, 3, 2, 1, 5, 4]",24.0
81,"[0, 6, 2, 5, 3, 4, 1]",24.0
82,"[0, 3, 2, 6, 4, 5, 1]",25.0
83,"[0, 6, 5, 2, 1, 4, 3]",27.0
84,"[0, 6, 4, 3, 2, 5, 1]",19.0
85,"[0, 3, 4, 1, 5, 6, 2]",26.0
86,"[0, 4, 6, 5, 1, 3, 2]",23.0
87,"[0, 6, 4, 1, 2, 3, 5]",19.0
88,"[0, 6, 1, 4, 5, 2, 3]",23.0
89,"[0, 6, 5, 2, 3, 1, 4]",21.0
90,"[0, 5, 6, 4, 3, 1, 2]",19.0
91,"[0, 4, 6, 5, 3, 2, 1]",18.0
92,"[0, 3, 6, 4, 2, 5, 1]",16.0
93,"[0, 6, 5, 2, 1, 4, 3]",19.0
94,"[0, 4, 1, 5, 2, 6, 3]",24.0
95,"[0, 6, 3, 5, 2, 1, 4]",19.0
96,"[0, 4, 3, 2, 6, 5, 1]",16.0
97,"[0, 5, 3, 1, 4, 6, 2]",24.0
98,"[0, 6, 2, 3, 1, 5, 4]",18.0
99,"[0, 3, 5, 6, 4, 2, 1]",18.0
